approach,variant,distance_metric,policy,enrollment_samples,test_accuracy,far,frr,eer,false_accepts,false_rejects,genuine_trials,impostor_trials,max_user_far,max_user_frr,mean_user_far,mean_user_frr,balanced_error,roc_auc,notes,far_percent,frr_percent,balanced_error_percent,eer_percent
embedding_based_verification,mean_template_50_enrollment_samples,cosine,guarded,50,,0.0086862745098039,0.1600490196078431,0.0553455882352941,1772,653,4080,204000,0.03275,0.5625,0.0086862745098039,0.1600490196078431,0.0843676470588235,0.9857608834342562,Шаблон построен по ограниченному числу enrollment samples.,0.86862745098039,16.00490196078431,8.43676470588235,5.53455882352941
embedding_based_verification,mean_template_full_train_256_samples,cosine,guarded,256,,0.0088333333333333,0.1529411764705882,,1802,624,4080,204000,0.0325,0.525,0.0088333333333333,0.1529411764705882,0.0808872549019607,,Шаблон построен по всем 256 train samples пользователя.,0.8833333333333301,15.294117647058819,8.08872549019607,
embedding_based_verification,mean_template_5_enrollment_samples,cosine,per_user,5,,0.00975,0.2026960784313725,0.0681127450980392,1989,827,4080,204000,0.0145,0.8375,0.0097499999999999,0.2026960784313725,0.1062230392156862,0.9813191987456747,Шаблон построен по ограниченному числу enrollment samples.,0.975,20.26960784313725,10.62230392156862,6.81127450980392
embedding_based_verification,mean_template_10_enrollment_samples,cosine,per_user,10,,0.0097107843137254,0.1590686274509803,0.0580245098039215,1981,649,4080,204000,0.015,0.5625,0.0097107843137254,0.1590686274509804,0.0843897058823529,0.9852615532487504,Шаблон построен по ограниченному числу enrollment samples.,0.97107843137254,15.90686274509803,8.43897058823529,5.80245098039215
embedding_based_verification,mean_template_20_enrollment_samples,cosine,per_user,20,,0.0097156862745098,0.146078431372549,0.0578946078431372,1982,596,4080,204000,0.01375,0.475,0.0097156862745098,0.146078431372549,0.0778970588235294,0.9854118938629371,Шаблон построен по ограниченному числу enrollment samples.,0.9715686274509799,14.6078431372549,7.789705882352941,5.78946078431372
embedding_based_verification,mean_template_30_enrollment_samples,cosine,per_user,30,,0.0094607843137254,0.1414215686274509,0.0573627450980392,1930,577,4080,204000,0.0145,0.55,0.0094607843137254,0.141421568627451,0.0754411764705882,0.9860513997020376,Шаблон построен по ограниченному числу enrollment samples.,0.94607843137254,14.14215686274509,7.544117647058821,5.73627450980392
embedding_based_verification,mean_template_50_enrollment_samples,cosine,per_user,50,,0.0097254901960784,0.1384803921568627,0.0553455882352941,1984,565,4080,204000,0.0155,0.525,0.0097254901960784,0.1384803921568627,0.0741029411764706,0.9857608834342562,Шаблон построен по ограниченному числу enrollment samples.,0.97254901960784,13.84803921568627,7.41029411764706,5.53455882352941
embedding_based_verification,mean_template_full_train_256_samples,cosine,per_user,256,,0.0095735294117647,0.1345588235294117,,1953,549,4080,204000,0.01475,0.525,0.0095735294117647,0.1345588235294117,0.0720661764705882,,Шаблон построен по всем 256 train samples пользователя.,0.95735294117647,13.45588235294117,7.20661764705882,
embedding_based_verification,mean_template_5_enrollment_samples,euclidean,global,5,,0.0090147058823529,0.3012254901960784,0.0874877450980392,1839,1229,4080,204000,0.036,0.7875,0.0090147058823529,0.3012254901960784,0.1551200980392156,0.9703560661764709,Шаблон построен по ограниченному числу enrollment samples.,0.90147058823529,30.122549019607842,15.51200980392156,8.74877450980392
embedding_based_verification,mean_template_10_enrollment_samples,euclidean,global,10,,0.0092156862745098,0.2522058823529411,0.0764632352941176,1880,1029,4080,204000,0.051,0.675,0.0092156862745098,0.2522058823529411,0.1307107843137255,0.974436063052672,Шаблон построен по ограниченному числу enrollment samples.,0.9215686274509799,25.220588235294112,13.071078431372548,7.6463235294117595
