enrollment_samples,split,distance_metric,policy,threshold_source,target_far,users_count,samples_count,genuine_trials,impostor_trials,genuine_accepts,genuine_rejects,impostor_accepts,impostor_rejects,far,frr,balanced_error,mean_user_far,mean_user_frr,max_user_far,max_user_frr,guarded_users_count,roc_auc,eer,eer_threshold,far_at_eer_threshold,frr_at_eer_threshold,genuine_distance_mean,impostor_distance_mean,separation_margin
5,validation,manhattan,global,validation,0.01,51,3264,3264,163200,2326,938,1632,161568,0.01,0.28737745098039214,0.14868872549019607,0.01,0.28737745098039214,0.0471875,0.8125,0,0.9787376352769969,0.07417279411764705,41.94074249267578,0.07420343137254902,0.07414215686274506,27.768758036196232,58.70595705792016,30.937199021723927
5,test,manhattan,global,validation,0.01,51,4080,4080,204000,2848,1232,1855,202145,0.00909313725490196,0.30196078431372547,0.15552696078431372,0.00909313725490196,0.3019607843137255,0.0415,0.9,0,0.9776776546280278,0.07361029411764704,41.98613357543945,0.07369117647058823,0.07352941176470584,28.004983961582184,58.93424125989278,30.929257298310596
5,validation,manhattan,per_user,validation,0.01,51,3264,3264,163200,2500,764,1632,161568,0.01,0.2340686274509804,0.1220343137254902,0.01,0.2340686274509804,0.01,0.734375,0,0.9787376352769969,0.07417279411764705,41.94074249267578,0.07420343137254902,0.07414215686274506,27.768758036196232,58.70595705792016,30.937199021723927
5,test,manhattan,per_user,validation,0.01,51,4080,4080,204000,3104,976,1918,202082,0.009401960784313726,0.23921568627450981,0.12430882352941178,0.009401960784313726,0.2392156862745098,0.015,0.8375,0,0.9776776546280278,0.07361029411764704,41.98613357543945,0.07369117647058823,0.07352941176470584,28.004983961582184,58.93424125989278,30.929257298310596
5,validation,manhattan,guarded,validation,0.01,51,3264,3264,163200,2323,941,1455,161745,0.008915441176470588,0.28829656862745096,0.14860600490196077,0.00891544117647059,0.28829656862745096,0.0471875,0.8125,3,0.9787376352769969,0.07417279411764705,41.94074249267578,0.07420343137254902,0.07414215686274506,27.768758036196232,58.70595705792016,30.937199021723927
5,test,manhattan,guarded,validation,0.01,51,4080,4080,204000,2838,1242,1673,202327,0.008200980392156863,0.3044117647058823,0.1563063725490196,0.008200980392156863,0.3044117647058824,0.0415,0.9,3,0.9776776546280278,0.07361029411764704,41.98613357543945,0.07369117647058823,0.07352941176470584,28.004983961582184,58.93424125989278,30.929257298310596
10,validation,euclidean,global,validation,0.01,51,3264,3264,163200,2471,793,1632,161568,0.01,0.24295343137254902,0.1264767156862745,0.010000000000000002,0.24295343137254902,0.0471875,0.71875,0,0.9765942767655469,0.07511948529411766,9.487494468688965,0.07517769607843137,0.07506127450980393,6.379599189677951,13.008323733172581,6.62872454349463
10,test,euclidean,global,validation,0.01,51,4080,4080,204000,3051,1029,1880,202120,0.009215686274509804,0.25220588235294117,0.1307107843137255,0.009215686274509803,0.25220588235294117,0.051,0.675,0,0.974436063052672,0.07646323529411762,9.533859252929688,0.07645588235294118,0.07647058823529407,6.45095474579755,13.077816955347856,6.626862209550306
10,validation,euclidean,per_user,validation,0.01,51,3264,3264,163200,2657,607,1632,161568,0.01,0.18596813725490197,0.09798406862745099,0.01,0.18596813725490197,0.01,0.59375,0,0.9765942767655469,0.07511948529411766,9.487494468688965,0.07517769607843137,0.07506127450980393,6.379599189677951,13.008323733172581,6.62872454349463
10,test,euclidean,per_user,validation,0.01,51,4080,4080,204000,3312,768,1864,202136,0.009137254901960785,0.18823529411764706,0.09868627450980393,0.009137254901960783,0.18823529411764708,0.01325,0.55,0,0.974436063052672,0.07646323529411762,9.533859252929688,0.07645588235294118,0.07647058823529407,6.45095474579755,13.077816955347856,6.626862209550306
