user_id,genuine_trials,genuine_accepts,genuine_rejects,frr,impostor_trials,impostor_accepts,impostor_rejects,far,genuine_score_min,genuine_score_p05,genuine_score_median,genuine_score_mean,genuine_score_p95,impostor_score_min,impostor_score_p95,impostor_score_p99,impostor_score_max,auth_threshold
s046,80,78,2,0.025,4000,44,3956,0.011,0.006182879209518433,0.1786264330148697,0.9513339996337891,0.8240272402763367,0.9990306496620178,1.190762440907156e-13,0.006046215537935495,0.06889186799526215,0.843487560749054,0.0586082898080349
s003,80,78,2,0.025,4000,41,3959,0.01025,0.009115039370954037,0.19071774184703827,0.9587500095367432,0.8289585113525391,0.9985834956169128,1.6563750371290098e-11,0.008280053734779358,0.059158019721508026,0.8207200169563293,0.0586082898080349
s005,80,78,2,0.025,4000,30,3970,0.0075,0.007884393446147442,0.29140937328338623,0.9885717034339905,0.866956353187561,0.9983375072479248,4.559639235562983e-16,0.0019653388299047947,0.03606631979346275,0.8720653653144836,0.0586082898080349
s055,80,78,2,0.025,4000,26,3974,0.0065,0.0031630024313926697,0.5362230539321899,0.9915646314620972,0.9187396764755249,0.9998188018798828,3.6713695480627907e-16,0.0014011769089847803,0.03087092936038971,0.6618713736534119,0.0586082898080349
s033,80,78,2,0.025,4000,17,3983,0.00425,0.0019806260243058205,0.6488417983055115,0.9936916828155518,0.9333965182304382,0.9998553991317749,1.3976114102837167e-13,0.0012656348990276456,0.021280840039253235,0.7483523488044739,0.0586082898080349
s037,80,79,1,0.0125,4000,101,3899,0.02525,0.03415518254041672,0.22580210864543915,0.9062029123306274,0.7934494614601135,0.9886120557785034,3.869206116526719e-13,0.016358155757188797,0.14842166006565094,0.9448527693748474,0.0586082898080349
s034,80,79,1,0.0125,4000,66,3934,0.0165,0.022478263825178146,0.10173100978136063,0.9685442447662354,0.8238424062728882,0.999682605266571,1.137936180830787e-13,0.007792966905981302,0.10223089158535004,0.9045024514198303,0.0586082898080349
s012,80,79,1,0.0125,4000,56,3944,0.014,0.046423304826021194,0.49703851342201233,0.9735659956932068,0.8930085897445679,0.9981912970542908,1.2391685442515732e-13,0.00786353275179863,0.1012440100312233,0.9057112336158752,0.0586082898080349
s016,80,79,1,0.0125,4000,40,3960,0.01,0.015283863991498947,0.7628435492515564,0.9832618236541748,0.9322773218154907,0.9987496733665466,8.011421580099404e-17,0.002363329753279686,0.056835487484931946,0.9154390096664429,0.0586082898080349
s013,80,79,1,0.0125,4000,33,3967,0.00825,0.04124872386455536,0.26986104249954224,0.981162428855896,0.8735555410385132,0.9989656805992126,1.4850621029603782e-15,0.0035778151359409094,0.04704337567090988,0.9285290241241455,0.0586082898080349
s035,80,79,1,0.0125,4000,33,3967,0.00825,0.027343442663550377,0.7260159254074097,0.9909313321113586,0.9391980171203613,0.9999341368675232,2.1551719285063664e-13,0.0037783775478601456,0.04425593465566635,0.945054292678833,0.0586082898080349
