user_id,target_far,global_threshold,individual_threshold,threshold_delta,global_far,global_frr,global_genuine_rejects,global_impostor_accepts,individual_far,individual_frr,individual_genuine_rejects,individual_impostor_accepts,genuine_trials,impostor_trials,genuine_score_median,genuine_score_mean,impostor_score_p99,impostor_score_max,diagnostic_group
s056,0.01,0.0586082898080349,0.05751943215727806,-0.001088857650756836,0.01,0.05,4,40,0.01025,0.05,4,41,80,4000,0.944942831993103,0.8142627477645874,0.057532962411642075,0.5130117535591125,acceptable
s016,0.01,0.0586082898080349,0.05681193247437477,-0.0017963573336601257,0.01,0.0125,1,40,0.01025,0.0125,1,41,80,4000,0.9832618236541748,0.9322773218154907,0.056835487484931946,0.9154390096664429,acceptable
s015,0.01,0.0586082898080349,0.05655311048030853,-0.002055179327726364,0.0095,0.05,4,38,0.01025,0.0375,3,41,80,4000,0.9483956694602966,0.7847665548324585,0.05655689164996147,0.891681432723999,acceptable
s041,0.01,0.0586082898080349,0.050056684762239456,-0.00855160504579544,0.0095,0.0,0,38,0.01025,0.0,0,41,80,4000,0.9744881987571716,0.9020737409591675,0.05009819194674492,0.9450241327285767,acceptable
s025,0.01,0.0586082898080349,0.048007361590862274,-0.010600928217172623,0.009,0.0,0,36,0.01025,0.0,0,41,80,4000,0.9883469343185425,0.947790265083313,0.04802694916725159,0.8101156949996948,acceptable
s047,0.01,0.0586082898080349,0.04236108064651489,-0.016247209161520004,0.0085,0.0375,3,34,0.01025,0.0375,3,41,80,4000,0.9440760016441345,0.7827191352844238,0.04237622395157814,0.7691382169723511,acceptable
s039,0.01,0.0586082898080349,0.049516353756189346,-0.00909193605184555,0.0085,0.0,0,34,0.01025,0.0,0,41,80,4000,0.9919808506965637,0.9143608212471008,0.04954460263252258,0.3921634554862976,acceptable
s013,0.01,0.0586082898080349,0.04704032093286514,-0.011567968875169754,0.00825,0.0125,1,33,0.01025,0.0125,1,41,80,4000,0.981162428855896,0.8735555410385132,0.04704337567090988,0.9285290241241455,acceptable
s035,0.01,0.0586082898080349,0.044255830347537994,-0.014352459460496902,0.00825,0.0125,1,33,0.01025,0.0125,1,41,80,4000,0.9909313321113586,0.9391980171203613,0.04425593465566635,0.945054292678833,acceptable
s044,0.01,0.0586082898080349,0.044254206120967865,-0.014354083687067032,0.008,0.0125,1,32,0.01025,0.0125,1,41,80,4000,0.9778931736946106,0.8978182673454285,0.04425428807735443,0.7091140151023865,acceptable
s040,0.01,0.0586082898080349,0.045526668429374695,-0.013081621378660202,0.00775,0.0,0,31,0.01025,0.0,0,41,80,4000,0.9870153665542603,0.9412468671798706,0.04553638771176338,0.9980030655860901,acceptable
s005,0.01,0.0586082898080349,0.03605596721172333,-0.02255232259631157,0.0075,0.025,2,30,0.01025,0.025,2,41,80,4000,0.9885717034339905,0.866956353187561,0.03606631979346275,0.8720653653144836,acceptable
s055,0.01,0.0586082898080349,0.03086838126182556,-0.027739908546209335,0.0065,0.025,2,26,0.01025,0.025,2,41,80,4000,0.9915646314620972,0.9187396764755249,0.03087092936038971,0.6618713736534119,acceptable
s038,0.01,0.0586082898080349,0.029428627341985703,-0.029179662466049194,0.0065,0.0125,1,26,0.01025,0.0125,1,41,80,4000,0.9817720651626587,0.8534916043281555,0.02943173609673977,0.6707425117492676,acceptable
s010,0.01,0.0586082898080349,0.02693275175988674,-0.031675538048148155,0.00625,0.0,0,25,0.01025,0.0,0,41,80,4000,0.9902054071426392,0.9342107772827148,0.026940174400806427,0.5682976841926575,acceptable
s017,0.01,0.0586082898080349,0.030116749927401543,-0.028491539880633354,0.006,0.0,0,24,0.01025,0.0,0,41,80,4000,0.9938586354255676,0.9594414830207825,0.0301202442497015,0.651132345199585,acceptable
s030,0.01,0.0586082898080349,0.021002093330025673,-0.037606196478009224,0.005,0.0375,3,20,0.01025,0.0125,1,41,80,4000,0.9889063835144043,0.8949397802352905,0.02100466750562191,0.40718716382980347,acceptable
s053,0.01,0.0586082898080349,0.027332257479429245,-0.03127603232860565,0.005,0.0,0,20,0.01025,0.0,0,41,80,4000,0.9986748695373535,0.9487693905830383,0.027342088520526886,0.4318157732486725,acceptable
s033,0.01,0.0586082898080349,0.02127997577190399,-0.037328314036130905,0.00425,0.025,2,17,0.01025,0.025,2,41,80,4000,0.9936916828155518,0.9333965182304382,0.021280840039253235,0.7483523488044739,acceptable
s049,0.01,0.0586082898080349,0.018808742985129356,-0.03979954682290554,0.00425,0.0,0,17,0.01025,0.0,0,41,80,4000,0.9825574159622192,0.916547954082489,0.018809456378221512,0.9583770036697388,acceptable
s042,0.01,0.0586082898080349,0.023509351536631584,-0.03509893827140331,0.004,0.0,0,16,0.01025,0.0,0,41,80,4000,0.9978550672531128,0.9811252355575562,0.023512201383709908,0.3822150230407715,acceptable
s036,0.01,0.0586082898080349,0.010659937746822834,-0.04794835206121206,0.00375,0.0,0,15,0.01025,0.0,0,41,80,4000,0.999406099319458,0.9903793334960938,0.01066229771822691,0.9396151900291443,acceptable
s024,0.01,0.0586082898080349,0.015317801386117935,-0.04329048842191696,0.0035,0.0,0,14,0.01025,0.0,0,41,80,4000,0.970604419708252,0.9108578562736511,0.015322024002671242,0.7789732813835144,acceptable
s028,0.01,0.0586082898080349,0.016104986891150475,-0.04250330291688442,0.00325,0.0,0,13,0.01025,0.0,0,41,80,4000,0.9916280508041382,0.9500950574874878,0.01610935851931572,0.7812130451202393,acceptable
