threshold,far,frr,abs_far_frr_delta
0.14,0.007803921568627451,0.06666666666666667,0.05886274509803922
0.14100000000000001,0.007715686274509804,0.06666666666666667,0.05895098039215686
0.14200000000000002,0.00767156862745098,0.06715686274509804,0.05948529411764705
0.14300000000000002,0.007617647058823529,0.06764705882352941,0.06002941176470588
0.14400000000000002,0.0075441176470588235,0.06813725490196078,0.06059313725490195
0.145,0.007480392156862745,0.06862745098039216,0.061147058823529415
0.146,0.007406862745098039,0.06911764705882353,0.061710784313725495
0.147,0.007348039215686274,0.06936274509803922,0.062014705882352944
0.148,0.007279411764705882,0.0696078431372549,0.06232843137254902
0.149,0.007245098039215686,0.06985294117647059,0.0626078431372549
0.15,0.007196078431372549,0.06985294117647059,0.06265686274509805
0.151,0.007142156862745098,0.07009803921568628,0.06295588235294118
0.152,0.00707843137254902,0.07107843137254902,0.064
0.153,0.007014705882352941,0.0713235294117647,0.06430882352941177
0.154,0.006965686274509804,0.0713235294117647,0.0643578431372549
0.155,0.006911764705882353,0.0713235294117647,0.06441176470588235
0.156,0.006862745098039216,0.07156862745098039,0.06470588235294117
0.157,0.006813725490196079,0.07156862745098039,0.0647549019607843
0.158,0.006774509803921569,0.07205882352941176,0.06528431372549019
0.159,0.006700980392156863,0.07254901960784314,0.06584803921568629
0.16,0.006661764705882353,0.07279411764705883,0.06613235294117648
0.161,0.00663235294117647,0.0732843137254902,0.06665196078431374
0.162,0.006607843137254902,0.07352941176470588,0.06692156862745098
0.163,0.0065784313725490194,0.07377450980392157,0.06719607843137256
0.164,0.006509803921568628,0.07426470588235294,0.06775490196078432
0.165,0.006470588235294118,0.07450980392156863,0.06803921568627451
0.166,0.006426470588235294,0.07475490196078431,0.06832843137254901
0.167,0.006392156862745098,0.075,0.0686078431372549
0.168,0.006352941176470588,0.075,0.06864705882352941
0.169,0.006303921568627451,0.07524509803921568,0.06894117647058823
0.17,0.006279411764705882,0.07524509803921568,0.0689656862745098
0.171,0.0062352941176470585,0.07524509803921568,0.06900980392156862
0.17200000000000001,0.006181372549019608,0.07524509803921568,0.06906372549019607
0.17300000000000001,0.006142156862745098,0.07573529411764705,0.06959313725490196
0.17400000000000002,0.006088235294117647,0.07598039215686274,0.0698921568627451
0.17500000000000002,0.006053921568627451,0.07622549019607844,0.07017156862745098
0.176,0.006019607843137255,0.07622549019607844,0.07020588235294119
0.177,0.005970588235294117,0.07647058823529412,0.07050000000000001
0.178,0.005931372549019607,0.07671568627450981,0.0707843137254902
0.179,0.0058970588235294115,0.0769607843137255,0.07106372549019609
0.18,0.005862745098039216,0.07720588235294118,0.07134313725490196
0.181,0.005823529411764706,0.07769607843137255,0.07187254901960785
0.182,0.005774509803921569,0.07818627450980392,0.07241176470588236
0.183,0.005745098039215686,0.07818627450980392,0.07244117647058823
0.184,0.005691176470588235,0.07867647058823529,0.07298529411764705
0.185,0.005642156862745098,0.07867647058823529,0.0730343137254902
0.186,0.005612745098039215,0.07916666666666666,0.07355392156862745
0.187,0.00559313725490196,0.07941176470588235,0.07381862745098039
0.188,0.0055588235294117645,0.07990196078431372,0.07434313725490195
0.189,0.0055147058823529415,0.0803921568627451,0.07487745098039217
0.19,0.005490196078431373,0.08063725490196079,0.07514705882352941
0.191,0.005450980392156863,0.08161764705882353,0.07616666666666667
0.192,0.005411764705882353,0.08186274509803922,0.07645098039215686
0.193,0.005362745098039216,0.0821078431372549,0.07674509803921568
0.194,0.005328431372549019,0.08259803921568627,0.07726960784313726
0.195,0.005284313725490196,0.08284313725490196,0.07755882352941176
0.196,0.005274509803921568,0.08308823529411764,0.07781372549019608
0.197,0.005240196078431372,0.08357843137254901,0.07833823529411764
0.198,0.0052205882352941175,0.0838235294117647,0.07860294117647058
0.199,0.0051862745098039216,0.0840686274509804,0.07888235294117647
0.2,0.005147058823529412,0.0840686274509804,0.07892156862745099
0.201,0.005122549019607843,0.08431372549019608,0.07919117647058824
0.202,0.005102941176470588,0.08480392156862746,0.07970098039215687
0.203,0.005088235294117647,0.08504901960784314,0.0799607843137255
0.20400000000000001,0.005063725490196079,0.08504901960784314,0.07998529411764706
0.20500000000000002,0.005019607843137255,0.08627450980392157,0.08125490196078432
0.20600000000000002,0.004990196078431372,0.08676470588235294,0.08177450980392156
0.20700000000000002,0.004980392156862745,0.08725490196078431,0.08227450980392156
0.20800000000000002,0.00496078431372549,0.08774509803921568,0.0827843137254902
0.209,0.004941176470588235,0.08774509803921568,0.08280392156862744
0.21,0.0048872549019607844,0.08823529411764706,0.08334803921568629
0.211,0.0048676470588235295,0.08872549019607844,0.0838578431372549
0.212,0.004843137254901961,0.08872549019607844,0.08388235294117648
0.213,0.004794117647058824,0.08897058823529412,0.0841764705882353
0.214,0.004784313725490196,0.08897058823529412,0.08418627450980393
0.215,0.004754901960784314,0.08970588235294118,0.08495098039215686
0.216,0.004740196078431373,0.08995098039215686,0.08521078431372549
0.217,0.00471078431372549,0.09044117647058823,0.08573039215686275
0.218,0.004691176470588235,0.09068627450980392,0.08599509803921568
0.219,0.004656862745098039,0.0909313725490196,0.08627450980392157
0.22,0.004642156862745098,0.09117647058823529,0.0865343137254902
0.221,0.004598039215686274,0.09117647058823529,0.08657843137254902
0.222,0.004568627450980392,0.09142156862745097,0.08685294117647058
0.223,0.0045392156862745095,0.09142156862745097,0.08688235294117647
0.224,0.0045245098039215685,0.09191176470588236,0.0873872549019608
0.225,0.004495098039215687,0.09215686274509804,0.08766176470588236
0.226,0.004470588235294118,0.09240196078431373,0.08793137254901962
0.227,0.00446078431372549,0.09240196078431373,0.08794117647058824
0.228,0.004436274509803922,0.0928921568627451,0.08845588235294118
0.229,0.004401960784313726,0.09313725490196079,0.08873529411764706
0.23,0.004382352941176471,0.09338235294117647,0.089
0.231,0.004362745098039216,0.09362745098039216,0.08926470588235294
0.232,0.004333333333333333,0.09387254901960784,0.08953921568627451
0.233,0.004308823529411765,0.09436274509803921,0.09005392156862745
0.234,0.004279411764705882,0.09509803921568627,0.09081862745098039
0.23500000000000001,0.004259803921568627,0.09558823529411764,0.09132843137254901
0.23600000000000002,0.004225490196078431,0.09583333333333334,0.09160784313725491
0.23700000000000002,0.0041862745098039215,0.09607843137254903,0.0918921568627451
0.23800000000000002,0.004142156862745098,0.0965686274509804,0.0924264705882353
0.23900000000000002,0.004112745098039216,0.09681372549019608,0.09270098039215686
0.24,0.004088235294117647,0.09779411764705882,0.09370588235294118
0.241,0.004068627450980392,0.09779411764705882,0.09372549019607843
0.242,0.004044117647058824,0.09779411764705882,0.09375
0.243,0.00403921568627451,0.09779411764705882,0.09375490196078431
0.244,0.004024509803921569,0.09779411764705882,0.09376960784313726
0.245,0.003990196078431372,0.09803921568627451,0.09404901960784313
0.246,0.003970588235294117,0.09852941176470588,0.09455882352941176
0.247,0.003931372549019608,0.09877450980392156,0.09484313725490195
0.248,0.003931372549019608,0.09926470588235294,0.09533333333333333
0.249,0.00392156862745098,0.09975490196078432,0.09583333333333334
0.25,0.003906862745098039,0.1,0.09609313725490197
0.251,0.003872549019607843,0.1,0.09612745098039216
0.252,0.0038676470588235295,0.1,0.09613235294117647
0.253,0.003852941176470588,0.1,0.09614705882352942
0.254,0.0038431372549019606,0.10049019607843138,0.09664705882352942
0.255,0.003833333333333333,0.10049019607843138,0.09665686274509805
0.256,0.0038137254901960786,0.10098039215686275,0.09716666666666667
0.257,0.0037941176470588237,0.10147058823529412,0.0976764705882353
0.258,0.0037794117647058823,0.10196078431372549,0.09818137254901961
0.259,0.003769607843137255,0.10245098039215686,0.09868137254901961
0.26,0.003735294117647059,0.10245098039215686,0.0987156862745098
0.261,0.0037254901960784314,0.10269607843137254,0.09897058823529412
0.262,0.0036911764705882355,0.10269607843137254,0.0990049019607843
0.263,0.0036715686274509805,0.10294117647058823,0.09926960784313725
0.264,0.0036519607843137256,0.10294117647058823,0.09928921568627451
0.265,0.003642156862745098,0.10294117647058823,0.09929901960784313
0.266,0.0036274509803921567,0.1036764705882353,0.10004901960784314
0.267,0.0036176470588235293,0.10392156862745099,0.10030392156862745
0.268,0.003607843137254902,0.10392156862745099,0.10031372549019608
0.269,0.0036029411764705883,0.10392156862745099,0.1003186274509804
