threshold,far,frr
0.6690689325332642,0.0004362745098039216,0.15735294117647058
0.6666316390037537,0.0004362745098039216,0.1568627450980392
0.6665741205215454,0.0004411764705882353,0.1568627450980392
0.6653066277503967,0.0004411764705882353,0.15637254901960784
0.6650721430778503,0.0004509803921568627,0.15637254901960784
0.6619069576263428,0.0004509803921568627,0.1556372549019608
0.6618713140487671,0.00045588235294117646,0.1556372549019608
0.6571455597877502,0.00045588235294117646,0.15343137254901962
0.65671306848526,0.0004607843137254902,0.15343137254901962
0.6513671278953552,0.0004607843137254902,0.1519607843137255
0.6505455374717712,0.0004754901960784314,0.1519607843137255
0.6487688422203064,0.0004754901960784314,0.15171568627450982
0.6452774405479431,0.0004901960784313725,0.15171568627450982
0.6424822807312012,0.0004901960784313725,0.15000000000000002
0.6420876979827881,0.0004950980392156863,0.15000000000000002
0.6377495527267456,0.0004950980392156863,0.14901960784313728
0.6363946199417114,0.0005,0.14901960784313728
0.6362221837043762,0.0005,0.1487745098039216
0.6350661516189575,0.0005098039215686275,0.1487745098039216
0.6289862394332886,0.0005098039215686275,0.14558823529411768
0.6287593245506287,0.0005147058823529412,0.14558823529411768
0.6255111694335938,0.0005147058823529412,0.14436274509803926
0.6253896951675415,0.000519607843137255,0.14436274509803926
0.6223062872886658,0.000519607843137255,0.1438725490196079
0.6222675442695618,0.0005245098039215687,0.1438725490196079
0.6219937801361084,0.0005245098039215687,0.1436274509803922
0.6219282746315002,0.0005294117647058823,0.1436274509803922
0.6197896599769592,0.0005294117647058823,0.14240196078431377
0.6197701096534729,0.000534313725490196,0.14240196078431377
0.6192727088928223,0.000534313725490196,0.14166666666666672
0.618736207485199,0.0005392156862745098,0.14166666666666672
0.6179131865501404,0.0005392156862745098,0.14142156862745103
0.6164849996566772,0.0005441176470588235,0.14142156862745103
0.6164659261703491,0.0005441176470588235,0.14117647058823535
0.6163965463638306,0.0005490196078431372,0.14117647058823535
0.6157102584838867,0.0005490196078431372,0.14093137254901966
0.614665150642395,0.000553921568627451,0.14093137254901966
0.6138676404953003,0.000553921568627451,0.14044117647058818
0.6136772036552429,0.0005588235294117647,0.14044117647058818
0.612677276134491,0.0005588235294117647,0.1401960784313725
0.6116651296615601,0.0005637254901960784,0.1401960784313725
0.6110066175460815,0.0005637254901960784,0.1399509803921568
0.6100264191627502,0.0005686274509803922,0.1399509803921568
0.6076250076293945,0.0005686274509803922,0.13921568627450975
0.6072478294372559,0.0005735294117647059,0.13921568627450975
0.6069117188453674,0.0005735294117647059,0.1384803921568627
0.6066073179244995,0.0005784313725490196,0.1384803921568627
0.6064989566802979,0.0005784313725490196,0.138235294117647
0.6063332557678223,0.0005833333333333334,0.138235294117647
0.6062403917312622,0.0005833333333333334,0.13799019607843133
0.6058667302131653,0.000588235294117647,0.13799019607843133
0.6048026084899902,0.000588235294117647,0.13725490196078427
0.6036173105239868,0.0005931372549019607,0.13725490196078427
0.6029272079467773,0.0005931372549019607,0.13700980392156858
0.6000984907150269,0.0006029411764705882,0.13700980392156858
0.5994868874549866,0.0006029411764705882,0.1367647058823529
0.5993908643722534,0.0006078431372549019,0.1367647058823529
0.5989072918891907,0.0006078431372549019,0.13651960784313721
0.5975649952888489,0.0006176470588235294,0.13651960784313721
0.5948881506919861,0.0006176470588235294,0.1352941176470588
0.5907559990882874,0.0006323529411764706,0.1352941176470588
0.5867592096328735,0.0006323529411764706,0.13406862745098036
0.5861813426017761,0.0006372549019607843,0.13406862745098036
0.5823491215705872,0.0006372549019607843,0.13235294117647056
0.5814255475997925,0.0006421568627450981,0.13235294117647056
0.5805056691169739,0.0006421568627450981,0.1316176470588235
0.5802516937255859,0.0006519607843137254,0.1316176470588235
0.577229380607605,0.0006519607843137254,0.1301470588235294
0.5759479999542236,0.0006568627450980392,0.1301470588235294
0.575232744216919,0.0006568627450980392,0.12965686274509802
0.5724731087684631,0.0006862745098039216,0.12965686274509802
0.5706771016120911,0.0006862745098039216,0.12892156862745097
0.5702353715896606,0.000696078431372549,0.12892156862745097
0.5701668858528137,0.000696078431372549,0.12867647058823528
0.5697792768478394,0.0007009803921568628,0.12867647058823528
0.5687921643257141,0.0007009803921568628,0.1281862745098039
0.5682976841926575,0.0007058823529411765,0.1281862745098039
0.5647373795509338,0.0007058823529411765,0.12720588235294117
